heben,alzar algo,gelegen_zu,estar orientado hacia o dar a 
abziehen,descontar,heben_von,aumentar a algo o alguien
vor-liegen,existir,zum_orientiert,orientar algo hacia algo
enthalten,incluir algo en algo,stammen_aus,proceden de algo
sich_enthalten,abstenerse,zusagen,agradar o convenir a alguien
umgrenzen,delimitar una zona,ueberzeugen_von,convencer a alguien de algo
fliesen,pavimentar,kuendigen,despedir a alguien
abschaffen,suprimir,sich_bekennen_zu,comprometerse a algo
behalten,quedarse con,entsprechen,corresponder con algo
einschraenken,limitar,austreten_aus,retirarse de algo
fordern,demandar o reclamar,schuetzen_vor,proteger algo o alg de algo o alguien
vorlegen,presentar algo,umgehen_mit,tratar con alguien
kuendigen,dimitir,zur_verfuegung_stehen,estar a disposicion de alguien
gelten,estar en vigor,sich_streiten_mit,pelearse con alguien
einlegen,conservar,ueberzeugt_sein_von,estar convencido de algo
vor-schlagen,proponer,sich_vorstellen,imaginarse algo
ablehnen,negar algo,sich_bewusst_sein_ueber,ser consciente de algo
beantragen,solicitar,bewundern_an,admirar
sich_durchsetzen,imponerse,gehoeren_zu,ser o pertenecer a algo
co2_verbrauch,consumo de co2,sich_gesellen_zu,unirse a alguien
schaden,dañar algo,aus-erwaehlen,elegir algo o alguien
wirken,surtir efecto,laufen_auf,echar por (la tv)
suechtig_sein,ser adicto,zurueck-treten_von,dimitir de algo
stoeren,molestar a alguien,sich_erholen_von,recuperarse de algo
vermeiden,evitar,vorbei-kommen_an,pasarte por donde esta alguien
verhindern,impedir,zweifeln_an,dudar o desconfiar de alguien
verzichten_auf,prescindir de algo o alg,widersprechen,llevar a alguien la contraria
gruenden,fundar,ab-haengen_von,depender de algo o alguien
beweisen,demostrar,aenderen_an,cambiar algo en alguien
nachweisen,justificar,an-fangen_mit,comenzar con algo
einfluss_haben_auf,tener influencia sobre algo,arbeiten_an,trabajar en algo
beeinflussen,predisponer a alguien,arbeiten_bei,trabajar para alguien
behindern,entorpecer algo o a algu,auf-hoeren_mit,dejar de hacer algo
belasten,cargar algo (finanz) o agobiar a algu,sich_bedanken_bei,agradecer algo a alguien
belaestigen,romper las bolas a alg,sich_beeilen_mit,darse prisa con algo
sinken,disminuir o bajar,beginnen_mit,empezar con algo
steigen,aumentar o subir,sich_beklagen_bei,llorarle a alguien
rolle_spielen,jugar un papel,beschweren_bei,quejarse a alguien
sich_bilden,educarse,bringen_zu,llegar a ser o convertirse
abbrechen,suspender o romper,sich_einigen_mit,ponerse de acuerdo con
abschliessen,cerrar o finalizar,ein-laden_zu,invitar a alguien a
begeistert_sein,ser entusiasta,sich_ekeln_vor,tener asco a algo o alguien
begeistern,encantar o entusiasmar a alguien,sich_entscheiden_zu,decidirse por alguien
begabt_sein,tener talento,sich_erholen_von,reponerse de algo
sich_an-gewoehnen,acostumbrarse a algo o alg,sich_erkundigen_bei,informarse u orientarse a traves de alguien
einwandern_in,inmigrar a,sich_erkundigen_nach,informarse u orientarse sobre algo o alguien
auswandern,emigrar ,sich_ernaehren_von,alimentarse de algo
sich_einleben,aclimatarse,erziehen_zu,enseniar valores a alguien
erreichbar_sein,estar disponible,fliehen_vor,huir de algo o alguien
